"filename","reference","authors","year","sub_estimate","citation","data_source","preference","presentation","task","species_1","species_2","common_name","stimulus","modality","stimulus_type","weber_reported","exclude","source","model","search_date","k_estimate","k_lower_95","k_upper_95","AIC_k","AIC_k_95","AIC_0","AIC_1","Estimate","Std..Error","test.statistic","p.value","R2","n_pairs","species","initial","species_short","species_full","standard_error"
"lind2013","Lind et al. 2013","Lind et al.",2013,"","Lind, O., Karlsson, S., Kelber, A., 2013. Brightness Discrimination in Budgerigars (Melopsittacus undulatus). PLOS ONE 8, e54650. https://doi.org/10.1371/journal.pone.0054650","Figure 2","conditioned","simultaneous","rank","Melopsittacus","undulatus","Budgerigar","Brightness","vision","intensity","no","","Database","binomial",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Melopsittacus undulatus","M.","M. undulatus","Melopsittacus undulatus",NA
"liu2005","Liu and Newsome 2005","Liu and Newsome",2005,"","Liu, J., Newsome, W.T., 2005. Correlation between Speed Perception and Neural Activity in the Middle Temporal Visual Area. J. Neurosci. 25, 711–722. https://doi.org/10.1523/JNEUROSCI.4034-04.2005","Figure 2","conditioned","simultaneous","rank","Macaca","mulatta","Rhesus macaque","Speed","vision","speed","no","","Database","binomial",2022,-0.6085,-2.5781,1.2843,32.703,34.703,32.9204,34.173,0.098195666240254,0.025480680655763,3.85373010897356,0.000116331827132329,0.956441287168569,9,"Macaca mulatta","M.","M. mulatta","Macaca mulatta",0.98530612244898
"liu2010","Liu et al. 2010","Liu et al.",2010,"","Liu, Y., Qin, L., Zhang, X., Dong, C., Sato, Y., 2010. Neural correlates of auditory temporal-interval discrimination in cats. Behavioural Brain Research 215, 28–38. https://doi.org/10.1016/j.bbr.2010.06.013","Fig. 3","conditioned","sequential","difference","Felis","catus","Cat","Duration","hearing","duration","no","AIC plot","Database","binomial",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Felis catus","F.","F. catus","Felis catus",NA
"luna2005","Luna et al. 2005","Luna et al.",2005,"","Luna, R., Hernández, A., Brody, C.D., Romo, R., 2005. Neural codes for perceptual discrimination in primary somatosensory cortex. Nat Neurosci 8, 1210–1219. https://doi.org/10.1038/nn1513","Fig 2a-d","conditioned","","rank","Macaca","mulatta","Rhesus macaque","Vibrotactile frequency","touch","frequency","no","","Database","binomial",2024,-0.132,-0.48,0.2143,499.8098,501.8098,72.6487,73.0151,0.138849333021863,0.0716317274000913,1.93837756063503,0.0525771760325811,0.442970933321772,8,"Macaca mulatta","M.","M. mulatta","Macaca mulatta",0.177117346938775
"maier1990","Maier and Klump 1990","Maier and Klump",1990,"","Maier, E.H., Klump, G.M., 1990. Auditory duration discrimination in the European starling (Sturnus vulgaris). The Journal of the Acoustical Society of America 88, 616–621. https://doi.org/10.1121/1.399765","Fig. 1","conditioned","sequential","difference","Sturnus","vulgaris","Common starling","Sound freq.","hearing","frequency","yes","","Database","gaussian",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sturnus vulgaris","S.","S. vulgaris","Sturnus vulgaris",NA
"mayrhofer2013","Mayrhofer et al. 2013","Mayrhofer et al.",2013,"","Mayrhofer, J.M., Skreb, V., von der Behrens, W., Musall, S., Weber, B., Haiss, F., 2013. Novel two-alternative forced choice paradigm for bilateral vibrotactile whisker frequency discrimination in head-fixed mice and rats. J Neurophysiol 109, 273–284. https://doi.org/10.1152/jn.00488.2012","Fig 3","conditioned","simultaneous","difference","Rattus","norvegicus","Brown rat","Vibrotactile freq.","touch","frequency","no","","Database","binomial",2022,1.5651,1.1188,2.0557,257.0404,259.0404,289.1647,260.3289,12.8680479933943,0.532636166871657,24.1591705440741,5.98080324783026e-129,0.999999999644805,8,"Rattus norvegicus","R.","R. norvegicus","Rattus norvegicus",0.239005102040816
"musall2014","Musall et al. 2014","Musall et al.",2014,"","Musall, S., von der Behrens, W., Mayrhofer, J.M., Weber, B., Helmchen, F., Haiss, F., 2014. Tactile frequency discrimination is enhanced by circumventing neocortical adaptation. Nat Neurosci 17, 1567–1573. https://doi.org/10.1038/nn.3821","Figure 1f","conditioned","simultaneous","difference","Rattus","norvegicus","Brown rat","Vibrotactile freq","touch","frequency","no","","Database","binomial",2022,0.6502,0.4613,0.8375,100.578,102.578,120.8041,107.3675,0.174348795986492,0.0159281339952958,10.9459649220671,6.94739968351324e-28,0.999958742199028,14,"Rattus norvegicus","R.","R. norvegicus","Rattus norvegicus",0.0959693877551021
"nachev2013_bats","Nachev et al. 2013","Nachev et al.",2013,"bats","Nachev, V., Stich, K.P., Winter, Y., 2013. Weber’s Law, the magnitude effect and discrimination of sugar concentrations in nectar-feeding animals. PLOS ONE 8, e74144. https://doi.org/10.1371/journal.pone.0074144","Email","innate","simultaneous","rank","Glossophaga","soricina","Pallas's long-tongued bat","Sugar conc.","taste","concentration","yes","","Review","binomial",2022,1.9124,1.8262,2,1811.4718,1813.4718,2693.8984,2050.8553,54.0490498751773,1.60640660603695,33.6459335214749,3.57554220321101e-248,0.99999998847554,15,"Glossophaga soricina","G.","G. soricina","Glossophaga soricina",0.0443367346938775
"nachev2013_batscr","Nachev et al. 2012","Nachev et al.",2012,"","Nachev, V., Winter, Y., 2012. The psychophysics of uneconomical choice: non-linear reward evaluation by a nectar feeder. Anim Cogn 15, 393–400. https://doi.org/10.1007/s10071-011-0465-7","Email","innate","simultaneous","rank","Glossophaga","commissarisi","Commissaris's long-tongued bat","Sugar conc.","taste","concentration","yes","","Review","binomial",2022,1.3919,1.3645,1.42,4608.3624,4610.3624,11105.9331,5145.4335,11.2865844815387,0.173239736356724,65.1500903828328,0,0.999999999999042,16,"Glossophaga commissarisi","G.","G. commissarisi","Glossophaga commissarisi",0.0141581632653061
"nachev2013_bumblebees","Nachev et al. 2013","Nachev et al.",2013,"bumblebees","Nachev, V., Thomson, J.D., Winter, Y., 2013. The psychophysics of sugar concentration discrimination and contrast evaluation in bumblebees. Anim Cogn 16, 417–427. https://doi.org/10.1007/s10071-012-0582-y","Email","innate","simultaneous","rank","Bombus","impatiens","Common eastern bumble bee","Sugar conc.","taste","concentration","yes","","both","binomial",2022,-0.1565,-0.1931,-0.1195,2407.4085,2409.4085,2442.2167,3689.2727,0.085909438240909,0.00116983910983805,73.4369688262532,0,1,11,"Bombus impatiens","B.","B. impatiens","Bombus impatiens",0.0187755102040816
"nachev2013_honeybees","Sanderson 2006","Sanderson",2006,"","Sanderson, C., 2006. A test of models predicting perceived versus actual rewards using the honeybee as a model system. University of Tulsa.","Email","innate","simultaneous","rank","Apis","mellifera","Western honey bee","Sugar conc.","taste","concentration","no","","Review","binomial",2022,0.3874,0.2805,0.4959,165.8753,167.8753,191.5072,217.8811,0.446804453289924,0.0255563969163372,17.4830769279648,1.92808419000795e-68,0.999999179014944,27,"Apis mellifera","A.","A. mellifera","Apis mellifera",0.0549489795918367
"nachev2013_hummingbirds","Hainsworth and Wolf 1976","Hainsworth and Wolf",1976,"","Hainsworth, F.R., Wolf, L.L., 1976. Nectar Characteristics and food selection by hummingbirds. Oecologia 25, 101–113. https://doi.org/10.1007/BF00368847","Email","innate","simultaneous","rank","Trochilidae","spp.","Hummingbird spp.","Sugar conc.","taste","concentration","no","","Review","binomial",2022,1.7265,1.57,1.9056,149.153,151.153,320.8309,208.4362,32.531332024711,2.85748198192708,11.3846149268707,4.98881300904421e-30,0.99965616120274,22,"Trochilidae","Trochilidae","Trochilidae spp.","Trochilidae spp.",0.0856122448979592
"nieder2003","Nieder and Miller 2003","Nieder and Miller",2003,"","Nieder, A., Miller, E.K., 2003. Coding of cognitive magnitude: compressed scaling of numerical information in the primate prefrontal cortex. Neuron 37, 149–157. https://doi.org/10.1016/S0896-6273(02)01144-3","Figure 3","conditioned","sequential","difference","Macaca","mulatta","Rhesus macaque","Quantity","vision","number","yes","","Review","binomial",2022,0.7574,0.6651,0.8492,194.4459,196.4459,295.8757,208.1192,-5.51565698130239,0.36287407609094,-15.1999201505927,3.54052344173643e-52,0.999645959431677,69,"Macaca mulatta","M.","M. mulatta","Macaca mulatta",0.0469642857142857
"pacheco2014_arena","Pacheco and Bertram 2014","Pacheco and Bertram",2014,"arena","Pacheco, K., Bertram, S.M., 2014. How male sound pressure level influences phonotaxis in virgin female Jamaican field crickets (Gryllus assimilis). PeerJ 2, e437. https://doi.org/10.7717/peerj.437","Supplemental","innate","simultaneous","rank","Gryllus","assimilis","Jamaican field cricket","Call amplitude","hearing","volume","no","","Database","gaussian",2022,0.3507,-0.7073,1.8154,1430.5479,1432.5479,1430.7699,1431.1158,-26.9336146567172,8.00708558674885,-3.36372258856461,0.00103762607611741,1,4,"Gryllus assimilis","G.","G. assimilis","Gryllus assimilis",0.643545918367347
"pacheco2014_trackball","Pacheco and Bertram 2014","Pacheco and Bertram",2014,"trackball","Pacheco, K., Bertram, S.M., 2014. How male sound pressure level influences phonotaxis in virgin female Jamaican field crickets (Gryllus assimilis). PeerJ 2, e437. https://doi.org/10.7717/peerj.437","Supplemental","innate","simultaneous","rank","Gryllus","assimilis","Jamaican field cricket","Call amplitude","hearing","volume","no","","Database","gaussian",2022,5.1691,2.7182,10.5534,2036.0957,2038.0957,2055.5871,2046.5869,-66266133661.983,12771011250.9447,-5.18879299061626,8.90791411110729e-07,1,4,"Gryllus assimilis","G.","G. assimilis","Gryllus assimilis",1.99877551020408
"perna2012","Perna et al. 2012","Perna et al.",2012,"","Perna, A., Granovskiy, B., Garnier, S., Nicolis, S.C., Labédan, M., Theraulaz, G., Fourcassié, V., Sumpter, D.J.T., 2012. Individual rules for trail pattern formation in Argentine ants (Linepithema humile). PLoS Comput Biol 8, e1002592. https://doi.org/10.1371/journal.pcbi.1002592","Email","innate","simultaneous","rank","Linepithema","humile","Argentine ant","Pheromone conc.","smell","concentration","yes","","Review","binomial",2022,0.8615,0.8542,0.8686,1000454.8507,1000456.8507,1005399.4249,1001612.6869,-0.0877457932926033,0.000900418467454465,-97.4500151475855,0,0.0182209244063502,742817,"Linepithema humile","L.","L. humile","Linepithema humile",0.00367346938775512
"qi2022","Qi et al. 2022","Qi et al.",2022,"","Qi, J., Ye, C., Naskar, S., Inácio, A.R., Lee, S., 2022. Posteromedial thalamic nucleus activity significantly contributes to perceptual discrimination. PLOS Biology 20, e3001896. https://doi.org/10.1371/journal.pbio.3001896","Supplemental","conditioned","simultaneous","difference","Mus","musculus","House mouse","Grit","touch","frequency","no","AIC plot","Database","binomial",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mus musculus","M.","M. musculus","Mus musculus",NA
"qin2009","Qin et al. 2009","Qin et al.",2009,"","Qin, L; Liu, YC; Wang, JY; Li, SN; Sato, Y","Figure 6","conditioned","sequential","difference","Felis","catus","Domestic cat","Duration","hearing","duration","no","AIC plot","Database","binomial",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Felis catus","F.","F. catus","Felis catus",NA
"salinas2000","Salinas et al. 2000","Salinas et al.",2000,"","Salinas, E., Hernández, A., Zainos, A., Romo, R., 2000. Periodicity and firing rate as candidate neural codes for the frequency of vibrotactile stimuli. J Neurosci 20, 5503–5515. https://doi.org/10.1523/JNEUROSCI.20-14-05503.2000","Fig. 1 b and c","conditioned","sequential","difference","Macaca","mulatta","Rhesus macaque","Sound freq.","hearing","frequency","no","","Database","binomial",2022,-0.167,-0.2532,-0.0861,252.5384,254.5384,261.1996,360.2221,0.120592125080033,0.0108336287048448,11.1312772816465,8.83601949652826e-29,0.975805058817382,20,"Macaca mulatta","M.","M. mulatta","Macaca mulatta",0.0426275510204082
"sanayei2018","Sanayei et al. 2018","Sanayei et al.",2018,"","Sanayei, M., Chen, X., Chicharro, D., Distler, C., Panzeri, S., Thiele, A., 2018. Perceptual learning of fine contrast discrimination changes neuronal tuning and population coding in macaque V4. Nat Commun 9, 4238. https://doi.org/10.1038/s41467-018-06698-w","Supplementary table 1","conditioned","sequential","rank","Macaca","mulatta","Rhesus macaque","Visual contrast level","vision","contrast","no","","Database","binomial",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macaca mulatta","M.","M. mulatta","Macaca mulatta",NA
"schulze1999","Schulze and Scheich 1999","Schulze and Scheich",1999,"","Schulze, H., Scheich, H., 1999. Discrimination learning of amplitude modulated tones in Mongolian gerbils. Neuroscience Letters 261, 13–16. https://doi.org/10.1016/S0304-3940(98)00991-4","Fig. 1","conditioned","sequential","difference","Meriones","unguiculatus","Mongolian gerbil","Sound freq.","hearing","frequency","no","","Database","binomial",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Meriones unguiculatus","M.","M. unguiculatus","Meriones unguiculatus",NA
"schwartz2001_percall","Schwartz et al. 2001","Schwartz et al.",2001,"per call","Schwartz, J.J., Buchanan, B.W., Gerhardt, H.C., 2001. Female mate choice in the gray treefrog (Hyla versicolor) in three experimental environments. Behav Ecol Sociobiol 49, 443–455. https://doi.org/10.1007/s002650100317","Email","innate","simultaneous","rank","Hyla","versicolor","Eastern gray treefrog","Pulses per call","hearing","number","no","","Database","binomial",2022,0.575,-0.3033,1.4157,270.4025,272.4025,271.2865,270.9122,1.61989891394911,0.25898543239163,6.25478776543519,3.98056856223297e-10,0.261679537837234,290,"Hyla versicolor","H.","H. versicolor","Hyla versicolor",0.438520408163265
"schwartz2001_total","Schwartz et al. 2001","Schwartz et al.",2001,"total","Schwartz, J.J., Buchanan, B.W., Gerhardt, H.C., 2001. Female mate choice in the gray treefrog (Hyla versicolor) in three experimental environments. Behav Ecol Sociobiol 49, 443–455. https://doi.org/10.1007/s002650100317","Email","innate","simultaneous","rank","Hyla","versicolor","Eastern gray treefrog","Call pulse no.","hearing","number","no","","Database","binomial",2022,1.0075,0.6965,1.3489,282.0701,284.0701,298.4998,282.0713,2.93862359461707,0.629717717253248,4.66657283748501,3.06265109180632e-06,0.171544014366128,294,"Hyla versicolor","H.","H. versicolor","Hyla versicolor",0.166428571428571
"schwarz2001","Schwarz and von der Emde 2001","Schwarz and von der Emde",2001,"","Schwarz, S., von der Emde, G., 2001. Distance discrimination during active electrolocation in the weakly electric fish Gnathonemus petersii. J Comp Physiol A 186, 1185–1197. https://doi.org/10.1007/s003590000170","Fig 3A","conditioned","simultaneous","rank","Gnathonemus","petersii","Peters's elephantnose fish","Distance","electroreception","size","no","","Database","binomial",2022,1.2803,1.1396,1.4214,442.6789,444.6789,546.7241,450.4595,4.58192779690988,0.341574985854093,13.4141198467826,4.99831912794389e-41,0.965784082531176,65,"Gnathonemus petersii","G.","G. petersii","Gnathonemus petersii",0.0718877551020408
"stubbs1994","Stubbs et al. 1994","Stubbs et al.",1994,"","Stubbs, D.A., Dreyfus, L.R., Fetterman, J.G., Boynton, D.M., Locklin, N., Smith, L.D., 1994. Duration comparison: relative stimulus differences, stimulus age, and stimulus predictiveness. J Exp Anal Behav 62, 15–32. https://doi.org/10.1901/jeab.1994.62-15","Fig 6B","conditioned","sequential","rank","Columba","livia","Rock dove","Duration","vision","duration","yes","","Database","binomial",2022,1.2353,1.0741,1.4479,152.2936,154.2936,161.9536,156.4403,1.79351143225162,0.526077464927961,3.40921547076193,0.000651499995530355,0.534582376959947,63,"Columba livia","C.","C. livia","Columba livia",0.0953571428571428
"talwar2001","Talwar and Gerstein 2001","Talwar and Gerstein",2001,"","Talwar, S.K., Gerstein, G.L., 2001. Reorganization in Awake Rat Auditory Cortex by Local Microstimulation and Its Effect on Frequency-Discrimination Behavior. Journal of Neurophysiology 86, 1555–1572. https://doi.org/10.1152/jn.2001.86.4.1555","Table 2","conditioned","sequential","difference","Rattus","norvegicus","Brown rat","Sound freq.","hearing","frequency","no","","Database","binomial",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rattus norvegicus","R.","R. norvegicus","Rattus norvegicus",NA
"thiele2024","Thiele et al. 2024","Thiele et al.",2024,"","Thiele, A., Chen, X., Sanayei, M., Chicharro, D., Distler, C., Panzeri, S., 2024. Perceptual Learning of Fine Contrast Discrimination Under Non-roving, Roving-Without-Flanker, and Roving-with-Flanker Conditions and its Relation to Neuronal Activity in Macaque V1. J Cogn Enhanc 8, 308–333. https://doi.org/10.1007/s41465-024-00298-x","Fig. 5A","conditioned","sequential","rank","Macaca","mulatta","Rhesus macaque","Contrast","vision","contrast","yes","AIC plot","Database","binomial",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macaca mulatta","M.","M. mulatta","Macaca mulatta",NA
"thuenken2014","Thuenken et al. 2014","Thuenken et al.",2014,"","Thünken, T., Eigster, M., Frommen, J.G., 2014. Context-dependent group size preferences in large shoals of three-spined sticklebacks. Animal Behaviour 90, 205–210. https://doi.org/10.1016/j.anbehav.2014.01.024","Email","innate","simultaneous","rank","Gasterosteus","aculeatus","Three-spined stickleback","Number","vision","number","yes","AIC plot","Database","gaussian",2024,0.0843,-1.9512,5.695,7.6123,9.6123,7.6138,7.7436,0.0102251048613021,0.00261880614916934,3.90449093169627,0.000168881941936626,0.132792526923277,5,"Gasterosteus aculeatus","G.","G. aculeatus","Gasterosteus aculeatus",1.9505612244898
"tumulty2001_duration","Tumulty et al. 2022","Tumulty et al.",2022,"duration","Tumulty, J.P., Fouilloux, C.A., Goyes Vallejos, J., Bee, M.A., 2022. Predicting and Measuring Decision Rules for Social Recognition in a Neotropical Frog. The American Naturalist 200, E77–E92. https://doi.org/10.1086/720279","Tumulty, J., Fouilloux, C., Goyes Vallejos, J., Bee, M., 2023. Data from: Predicting and measuring decision rules for social recognition in a Neotropical frog. https://doi.org/10.5061/DRYAD.1RN8PK0VR","innate","sequential","difference","Anomaloglossus","beebei","Golden rocket frog","Call pulse duration","hearing","duration","no","","Database","gaussian",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anomaloglossus beebei","A.","A. beebei","Anomaloglossus beebei",NA
"tumulty2022_interval","Tumulty et al. 2022","Tumulty et al.",2022,"interval","Tumulty, J.P., Fouilloux, C.A., Goyes Vallejos, J., Bee, M.A., 2022. Predicting and Measuring Decision Rules for Social Recognition in a Neotropical Frog. The American Naturalist 200, E77–E92. https://doi.org/10.1086/720279","Tumulty, J., Fouilloux, C., Goyes Vallejos, J., Bee, M., 2023. Data from: Predicting and measuring decision rules for social recognition in a Neotropical frog. https://doi.org/10.5061/DRYAD.1RN8PK0VR","innate","sequential","difference","Anomaloglossus","beebei","Golden rocket frog","Call pulse interval","hearing","duration","no","","Database","gaussian",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anomaloglossus beebei","A.","A. beebei","Anomaloglossus beebei",NA
"tumulty2022_period","Tumulty et al. 2022","Tumulty et al.",2022,"period","Tumulty, J.P., Fouilloux, C.A., Goyes Vallejos, J., Bee, M.A., 2022. Predicting and Measuring Decision Rules for Social Recognition in a Neotropical Frog. The American Naturalist 200, E77–E92. https://doi.org/10.1086/720279","Tumulty, J., Fouilloux, C., Goyes Vallejos, J., Bee, M., 2023. Data from: Predicting and measuring decision rules for social recognition in a Neotropical frog. https://doi.org/10.5061/DRYAD.1RN8PK0VR","innate","sequential","difference","Anomaloglossus","beebei","Golden rocket frog","Call pulse period","hearing","duration","no","","Database","gaussian",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anomaloglossus beebei","A.","A. beebei","Anomaloglossus beebei",NA
"vandenberg2020","van den Berg et al. 2020","van den Berg et al.",2020,"","van den Berg, C.P., Hollenkamp, M., Mitchell, L.J., Watson, E.J., Green, N.F., Marshall, N.J., Cheney, K.L., 2020. More than noise: context-dependent luminance contrast discrimination in a coral reef fish (Rhinecanthus aculeatus). J Exp Biol 223, jeb232090. https://doi.org/10.1242/jeb.232090","More than noise: Context-dependant luminance contrast discrimination in a coral reef fish (Rhinecanthus aculeatus) - UQ eSpace [WWW Document], n.d. URL https://espace.library.uq.edu.au/view/UQ:5180fb1 (accessed 2.10.25).","conditioned","simultaneous","difference","Rhinecanthus","aculeatus","Lagoon triggerfish","Luminance","vision","intensity","no","","Database","binomial",2022,1.7909,1.651,1.9262,824.5631,826.5631,1045.9407,878.001,7.92925270428883,0.44900629154091,17.6595581257382,8.59095688998505e-70,0.666539973322307,24,"Rhinecanthus aculeatus","R.","R. aculeatus","Rhinecanthus aculeatus",0.070204081632653
"vonderemde1994","von der Emde and Ronacher 1994","von der Emde and Ronacher",1994,"","von der Emde, G., Ronacher, B., 1994. Perception of electric properties of objects in electrolocating weakly electric fish: two-dimensional similarity scaling reveals a City-Block metric. J Comp Physiol A 175, 801–812. https://doi.org/10.1007/BF00191852","Fig 4a-b","conditioned","simultaneous","difference","Gnathonemus","petersii","Peters's elephantnose fish","Amplitude","electroreception","intensity","no","","Database","binomial",2022,5.8421,0.7734,10.9257,489.1768,491.1768,491.7789,491.0122,-330052879404.781,86524014995.8959,-3.81458118211963,0.000136414088102673,0.295658139686255,42,"Gnathonemus petersii","G.","G. petersii","Gnathonemus petersii",2.58987244897959
"vonstebut2001","von Stebut and Schmidt 2001","von Stebut and Schmidt",2001,"","von Stebut, B., Schmidt, S., 2001. Frequency discrimination threshold at search call frequencies in the echolocating bat, Eptesicus fuscus. J Comp Physiol A 187, 287–291. https://doi.org/10.1007/s003590100200","Fig 2","conditioned","sequential","rank","Eptesicus","fuscus","Big brown bat","Sound freq.","hearing","frequency","no","","Database","binomial",2022,0.2368,-3.5663,4.016,428.153,430.153,428.1609,428.235,3.74452593298702,0.319478806749772,11.7207334379456,9.98041559204064e-32,0.868763507048171,80,"Eptesicus fuscus","E.","E. fuscus","Eptesicus fuscus",1.93426020408163
"zhang2023","Zhang et al. 2023","Zhang et al.",2023,"","Zhang, A., Zador, A.M., 2023. Neurons in the primary visual cortex of freely moving rats encode both sensory and nonsensory task variables. PLoS Biology 21. https://doi.org/10.1371/journal.pbio.3002384","Zhang, A., 2023. Data for: “Neurons in the primary visual cortex of freely-moving rats encode both sensory and non-sensory task variables” 1. https://doi.org/10.17632/5ms7gcb67j.1","conditioned","simultaneous","rank","Rattus","norvegicus","Brown rat","Quantity","vision","number","no","AIC plot","Database","binomial",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rattus norvegicus","R.","R. norvegicus","Rattus norvegicus",NA
